"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 02:43:13 UTC 2024","Fri Mar 08 02:43:16 UTC 2024","2821","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Mar 08 03:59:29 UTC 2024","Fri Mar 08 03:59:39 UTC 2024","9579","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Mar 08 03:06:51 UTC 2024","Fri Mar 08 03:07:09 UTC 2024","17524","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Fri Mar 08 04:14:35 UTC 2024","Fri Mar 08 04:14:39 UTC 2024","3552","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Mar 08 02:43:38 UTC 2024","Fri Mar 08 02:43:39 UTC 2024","359","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Mar 08 02:45:37 UTC 2024","Fri Mar 08 02:45:41 UTC 2024","4362","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Mar 08 02:38:23 UTC 2024","Fri Mar 08 02:39:19 UTC 2024","55556","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Mar 08 02:21:32 UTC 2024","Fri Mar 08 02:21:58 UTC 2024","26069","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Fri Mar 08 04:44:29 UTC 2024","Fri Mar 08 04:44:36 UTC 2024","7770","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Mar 08 03:09:17 UTC 2024","Fri Mar 08 03:09:19 UTC 2024","1404","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Mar 08 04:03:16 UTC 2024","Fri Mar 08 04:03:22 UTC 2024","6801","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Mar 08 02:32:27 UTC 2024","Fri Mar 08 02:32:34 UTC 2024","7754","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Mar 08 04:15:07 UTC 2024","Fri Mar 08 04:15:09 UTC 2024","2313","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Mar 08 02:34:34 UTC 2024","Fri Mar 08 02:34:35 UTC 2024","398","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Mar 08 02:28:23 UTC 2024","Fri Mar 08 02:28:28 UTC 2024","4347","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 08 04:44:12 UTC 2024","Fri Mar 08 04:44:22 UTC 2024","10196","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
